Local  Health Jurisdiction,Age Group (Years),Blood Lead Level (BLL) <4.5 n,BLL <4.5 % (row),BLL≥4.5 to <9.5 n,BLL ≥4.5 to <9.5 % (row),BLL≥9.5 n,BLL ≥9.5 %(row),Totals,State
Alameda,Age < 6,16176.0,0.9815999999999999,229.0,0.0139,74.0,0.0045000000000000005,16479.0,California
Alameda,Age 6 to 21,2549.0,0.9759,49.0,0.018799999999999997,14.0,0.0054,2612.0,California
Alameda,Local Total age < 21,18725.0,0.9808,278.0,0.0146,88.0,0.0046,19091.0,California
Alpine,Age < 6,,,,,,,,California
Alpine,Age 6 to 21,,,,,,,,California
Alpine,Local Total age < 21,,,,,,,,California
Amador,Age < 6,,,,,,,,California
Amador,Age 6 to 21,,,,,,,,California
Amador,Local Total age < 21,,,,,,,421.0,California
Berkeley,Age < 6,511.0,0.9826999999999999,8.0,0.0154,1.0,0.0019,520.0,California
Berkeley,Age 6 to 21,42.0,0.9767,1.0,0.0233,,,43.0,California
Berkeley,Local Total age < 21,553.0,0.9822,9.0,0.016,1.0,0.0018,563.0,California
Butte,Age < 6,1679.0,0.9934999999999999,8.0,0.004699999999999999,3.0,0.0018,1690.0,California
Butte,Age 6 to 21,52.0,0.9455,3.0,0.0545,,,55.0,California
Butte,Local Total age < 21,1731.0,0.992,11.0,0.0063,3.0,0.0017000000000000001,1745.0,California
Calaveras,Age < 6,,,,,,,,California
Calaveras,Age 6 to 21,,,,,,,,California
Calaveras,Local Total age < 21,,,,,,,380.0,California
Colusa,Age < 6,,,,,,,,California
Colusa,Age 6 to 21,,,,,,,,California
Colusa,Local Total age < 21,,,,,,,349.0,California
Contra Costa,Age < 6,7337.0,0.9887999999999999,66.0,0.0089,17.0,0.0023,7420.0,California
Contra Costa,Age 6 to 21,840.0,0.9802,15.0,0.0175,2.0,0.0023,857.0,California
Contra Costa,Local Total age < 21,8177.0,0.9879000000000001,81.0,0.0098,19.0,0.0023,8277.0,California
Del Norte,Age < 6,,,,,,,,California
Del Norte,Age 6 to 21,,,,,,,,California
Del Norte,Local Total age < 21,,,,,,,260.0,California
El Dorado,Age < 6,508.0,0.9603,19.0,0.0359,2.0,0.0038,529.0,California
El Dorado,Age 6 to 21,64.0,0.9845999999999999,1.0,0.0154,,,65.0,California
El Dorado,Local Total age < 21,572.0,0.963,20.0,0.0337,2.0,0.0034000000000000002,594.0,California
Fresno,Age < 6,14468.0,0.98,249.0,0.0169,47.0,0.0032,14764.0,California
Fresno,Age 6 to 21,1848.0,0.9783,34.0,0.018000000000000002,7.0,0.0037,1889.0,California
Fresno,Local Total age < 21,16316.0,0.9798,283.0,0.017,54.0,0.0032,16653.0,California
Glenn,Age < 6,,,,,,,,California
Glenn,Age 6 to 21,,,,,,,,California
Glenn,Local Total age < 21,,,,,,,419.0,California
Humboldt,Age < 6,2048.0,0.9526,91.0,0.042300000000000004,11.0,0.0051,2150.0,California
Humboldt,Age 6 to 21,98.0,0.9608,4.0,0.0392,,,102.0,California
Humboldt,Local Total age < 21,2146.0,0.9529000000000001,95.0,0.042199999999999994,11.0,0.0049,2252.0,California
Imperial,Age < 6,5274.0,0.9878,49.0,0.0092,16.0,0.003,5339.0,California
Imperial,Age 6 to 21,464.0,0.9978,1.0,0.0022,,,465.0,California
Imperial,Local Total age < 21,5738.0,0.9886,50.0,0.0086,16.0,0.0028000000000000004,5804.0,California
Inyo,Age < 6,,,,,,,,California
Inyo,Age 6 to 21,,,,,,,,California
Inyo,Local Total age < 21,,,,,,,,California
Kern,Age < 6,17878.0,0.988,182.0,0.0101,36.0,0.002,18096.0,California
Kern,Age 6 to 21,1312.0,0.9798,19.0,0.014199999999999999,8.0,0.006,1339.0,California
Kern,Local Total age < 21,19190.0,0.9873999999999999,201.0,0.0103,44.0,0.0023,19435.0,California
Kings,Age < 6,2005.0,0.9771,39.0,0.019,8.0,0.0039000000000000003,2052.0,California
Kings,Age 6 to 21,61.0,0.9839,1.0,0.0161,,,62.0,California
Kings,Local Total age < 21,2066.0,0.9773000000000001,40.0,0.0189,8.0,0.0038,2114.0,California
Lake,Age < 6,,,,,,,497.0,California
Lake,Age 6 to 21,,,,,,,15.0,California
Lake,Local Total age < 21,,,,,,,512.0,California
Lassen,Age < 6,,,,,,,,California
Lassen,Age 6 to 21,,,,,,,,California
Lassen,Local Total age < 21,,,,,,,134.0,California
Long Beach,Age < 6,5666.0,0.9928,33.0,0.0058,8.0,0.0014000000000000002,5707.0,California
Long Beach,Age 6 to 21,442.0,0.9933,2.0,0.0045000000000000005,1.0,0.0022,445.0,California
Long Beach,Local Total age < 21,6108.0,0.9928,35.0,0.005699999999999999,9.0,0.0015,6152.0,California
Los Angeles,Age < 6,122807.0,0.9895999999999999,1066.0,0.0086,227.0,0.0018,124100.0,California
Los Angeles,Age 6 to 21,16917.0,0.9845999999999999,197.0,0.0115,67.0,0.0039000000000000003,17181.0,California
Los Angeles,Local Total age < 21,139724.0,0.9890000000000001,1263.0,0.0089,294.0,0.0021,141281.0,California
Madera,Age < 6,4040.0,0.9789,70.0,0.017,17.0,0.0040999999999999995,4127.0,California
Madera,Age 6 to 21,403.0,0.9853000000000001,4.0,0.0098,2.0,0.0049,409.0,California
Madera,Local Total age < 21,4443.0,0.9795,74.0,0.0163,19.0,0.0042,4536.0,California
Marin,Age < 6,1958.0,0.9854,23.0,0.0116,6.0,0.003,1987.0,California
Marin,Age 6 to 21,262.0,0.9704,5.0,0.018500000000000003,3.0,0.0111,270.0,California
Marin,Local Total age < 21,2220.0,0.9836,28.0,0.0124,9.0,0.004,2257.0,California
Mariposa,Age < 6,,,,,,,,California
Mariposa,Age 6 to 21,,,,,,,,California
Mariposa,Local Total age < 21,,,,,,,91.0,California
Mendocino,Age < 6,1117.0,0.9773000000000001,,,,,1143.0,California
Mendocino,Age 6 to 21,,,,,,,56.0,California
Mendocino,Local Total age < 21,,,,,,,1199.0,California
Merced,Age < 6,3434.0,0.9873000000000001,35.0,0.0101,9.0,0.0026,3478.0,California
